"","id","ReportType","CurrentStatus","Description","DateCreate_Converted","DateClosed_Converted","location","crecondate","clocondate","HLReportType","timespan","WeeksToClose"
"1",636867,"Broken / Vandalized signs","Closed","Looks like someone hit the signs down. On Paiwa heading toward the east bound on ramp.","01/27/2019 10:23:25 PM","02/01/2019 08:16:54 AM","(21.396820276, -158.009726946)",2019-01-27 22:23:25,2019-02-01 08:16:54,"RoadSafety",381209s (~4.41 days),0.630305886243386
"2",635709,"Trash","Closed","illegal dump site and abandoned red and white boat","01/24/2019 01:29:04 PM","01/24/2019 02:25:01 PM","(21.324708421, -157.681087532)",2019-01-24 13:29:04,2019-01-24 14:25:01,"Trash",3357s (~55.95 minutes),0.00555059523809524
"3",633960,"Trash","Closed","There are abt 4 damaged/abandoned cars parked on Bingham Street close to the Church of the Crossroad.","01/21/2019 06:34:00 PM","01/22/2019 09:03:17 AM","(21.2941362, -157.8225843)",2019-01-21 18:34:00,2019-01-22 09:03:17,"Trash",52157s (~14.49 hours),0.0862384259259259
"4",632956,"Homeless","Closed","is this one of the private street parking areas in Kaka'ako? if not, how are they allowed to set up a 3 story house and business in a public street parking stalls?","01/18/2019 08:58:24 AM","01/18/2019 09:23:12 AM","(21.2959865, -157.859981)",2019-01-18 08:58:24,2019-01-18 09:23:12,"Homeless",1488s (~24.8 minutes),0.00246031746031746
"5",631519,"Tree","Closed","Looks like a broken irrigation pipe, lots of water flowing.","01/15/2019 12:05:10 PM","01/16/2019 08:02:21 AM","(21.370179349, -157.926698705)",2019-01-15 12:05:10,2019-01-16 08:02:21,"Tree",71831s (~19.95 hours),0.118768187830688
"6",630261,"Homeless","Closed","Storing property on public roads","01/12/2019 03:56:56 PM","01/14/2019 09:02:13 AM","(21.289425734, -157.706973171)",2019-01-12 15:56:56,2019-01-14 09:02:13,"Homeless",147917s (~1.71 days),0.244571759259259
"7",629120,"Trash","Closed","Under the pedestrian overpass on the mauka side of H1","01/09/2019 05:05:15 PM","01/10/2019 08:08:14 AM","(21.296316461, -157.823964103)",2019-01-09 17:05:15,2019-01-10 08:08:14,"Trash",54179s (~15.05 hours),0.0895816798941799
"8",628574,"Tree","Closed","Trees are growing into the power lines","01/08/2019 09:51:01 PM","01/09/2019 07:54:02 AM","(21.45467, -157.8276516)",2019-01-08 21:51:01,2019-01-09 07:54:02,"Tree",36181s (~10.05 hours),0.059823082010582
"9",626600,"Homeless","Closed","This car is always blocking the sidewalk and when I pass I9m forced to go on the roadway.","01/04/2019 10:10:42 AM","01/04/2019 10:26:06 AM","(21.3758771, -157.7376376)",2019-01-04 10:10:42,2019-01-04 10:26:06,"Homeless",924s (~15.4 minutes),0.00152777777777778
"10",624953,"Broken / Vandalized signs","Closed","Pole no sign","12/31/2018 12:30:03 PM","12/31/2018 01:44:28 PM","(21.315409212, -157.865392285)",2018-12-31 12:30:03,2018-12-31 13:44:28,"RoadSafety",4465s (~1.24 hours),0.00738260582010582
"11",623884,"Flooding","Closed","Spilling water pipe is flooding the trail and potentially causing a landslide.","12/27/2018 10:18:55 PM","12/28/2018 08:21:47 AM","(21.316984872, -157.776954601)",2018-12-27 22:18:55,2018-12-28 08:21:47,"Water",36172s (~10.05 hours),0.0598082010582011
"12",623821,"Tree","Closed","Tree has fallen over past few weeks and is blocking the sidewalk causing a safety hazard. This tree has been leaning more and more when there is rain and may fall if not cut at base. Many students use the walkway to travel to and from nearby Lehua Elemen","12/27/2018 01:09:25 PM","12/27/2018 01:17:54 PM","(21.388484022, -157.972544855)",2018-12-27 13:09:25,2018-12-27 13:17:54,"Tree",509s (~8.48 minutes),0.000841600529100529
"13",619800,"Light","Closed","Street light","12/13/2018 11:03:54 PM","12/14/2018 08:30:10 AM","(21.442829479, -158.018615626)",2018-12-13 23:03:54,2018-12-14 08:30:10,"RoadSafety",33976s (~9.44 hours),0.0561772486772487
"14",619615,"Tree","Closed","Plants need to be off the exit ramp. Fence need to be repaired. Behind the stage needs to be cleaned","12/13/2018 09:20:15 AM","12/13/2018 09:33:29 AM","(21.309002872, -157.861510459)",2018-12-13 09:20:15,2018-12-13 09:33:29,"Tree",794s (~13.23 minutes),0.00131283068783069
