"","id","ReportType","CurrentStatus","Description","DateCreate_Converted","DateClosed_Converted","location","crecondate","clocondate","HLReportType","timespan","WeeksToClose","NoName","latitude","longitude","state","AUTO_UNIQUE_ID_2021-01-30_AdrianaGray_rgsample10","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4","ComputedAPN","Area","MHP","MedianHomePrice"
"1",616659,"Light","Closed","At intersection of Ulupii St. and Uluamahi Pl. Very dark corner now.","12/06/2018 06:59:14 AM","12/06/2018 08:27:42 AM","(21.37542901, -157.756160058)",2018-12-06 06:59:14,2018-12-06 08:27:42,"RoadSafety",5308s (~1.47 hours),0.00877645502645503,702,21.37542901,-157.756160058,"HI",702,1,156.2235,NA,"AggieReverseGeocoder",NA,4.01,"1614 Ulupii St","Waimanalo","HI",96734,4445,42044040,"Windward",604900,"600k+"
"2",604628,"Tree","Closed","Trees resting on power lines. There have been many outages due to fallen trees. One resulted in insurance claims from most of the residents due to a power surge when power was restored","11/05/2018 10:22:20 AM","11/05/2018 03:58:34 PM","(21.256807617, -157.814729443)",2018-11-05 10:22:20,2018-11-05 15:58:34,"Tree",20174s (~5.6 hours),0.0333564814814815,253,21.256807617,-157.814729443,"HI",253,1,374.9972,NA,"AggieReverseGeocoder",NA,4.01,"3190 Diamond Head Rd","Urban Honolulu","HI",96815,4720,31035002,"UrbanHNL",683000,"600k+"
"3",594221,"Trash","Closed","Ewa, mauka corner of Varsity Pl. and Kalo Pl.  Intersection being used as moped dumping ground. People strip mopeds and leave parts, dump fluids, etc in area.","10/09/2018 05:39:25 PM","10/10/2018 08:02:44 AM","(21.292271067, -157.8196101)",2018-10-09 17:39:25,2018-10-10 08:02:44,"Trash",51799s (~14.39 hours),0.0856464947089947,266,21.292271067,-157.8196101,"HI",266,1,1000.0242,NA,"AggieReverseGeocoder",NA,4.01,"1054 Kalo Pl","Urban Honolulu","HI",96826,1635,28024024,"UrbanHNL",683000,"600k+"
"4",558164,"Trash","Closed","Desk and bed frame pieces dumped on the makai side of the road","07/26/2018 08:33:09 PM","07/27/2018 08:12:05 AM","(21.308918697, -157.849242295)",2018-07-26 20:33:09,2018-07-27 08:12:05,"Trash",41936s (~11.65 hours),0.0693386243386243,343,21.308918697,-157.849242295,"HI",343,1,643.891,NA,"AggieReverseGeocoder",NA,4.01,"1609 Alapai St","Urban Honolulu","HI",96813,1901,22004033,"UrbanHNL",683000,"600k+"
"5",547478,"Homeless","Closed","Black BMW with flat tire and broken tail lights parked on side of this street for at least 3 weeks.","07/07/2018 12:03:03 PM","07/09/2018 08:49:19 AM","(21.300299658, -157.859699552)",2018-07-07 12:03:03,2018-07-09 08:49:19,"Homeless",161176s (~1.87 days),0.266494708994709,753,21.300299658,-157.859699552,"HI",753,1,867.0647,NA,"AggieReverseGeocoder",NA,4.01,"690 Pohukaina St","Urban Honolulu","HI",96813,5116,21051009,"UrbanHNL",683000,"600k+"
"6",538804,"Light","Closed","several light poles are out along the right side of the road as you yield from Kalanianaole onto Kamehameha","06/19/2018 09:39:42 PM","06/20/2018 07:54:26 AM","(21.375406443, -157.780779345)",2018-06-19 21:39:42,2018-06-20 07:54:26,"RoadSafety",36884s (~10.25 hours),0.0609854497354497,1734,21.375406443,-157.780779345,"HI",1734,1,734.4163,NA,"AggieReverseGeocoder",NA,4.01,"1199 Auloa Rd","Waimanalo","HI",96734,4606,45035003,"Windward",604900,"600k+"
"7",535455,"Trash","Closed","Both sides of the street littered with trash and tent cities.  Unable to walk using sidewalks","06/12/2018 05:26:43 PM","06/13/2018 10:30:40 AM","(21.3016311, -157.8576977)",2018-06-12 17:26:43,2018-06-13 10:30:40,"Trash",61437s (~17.07 hours),0.101582341269841,239,21.3016311,-157.8576977,"HI",239,1,921.8184,NA,"AggieReverseGeocoder",NA,4.01,"627 Queen St","Urban Honolulu","HI",96813,5113,21031032,"UrbanHNL",683000,"600k+"
"8",529450,"Tree","Closed","2454 and 3458 E. Manoa RD. Mock orange hedges overgrown extending halfway over sidewalk. Needs trimming to property line.","05/31/2018 03:18:04 PM","05/31/2018 03:24:56 PM","(21.310595151, -157.809050483)",2018-05-31 15:18:04,2018-05-31 15:24:56,"Tree",412s (~6.87 minutes),0.000681216931216931,1302,21.310595151,-157.809050483,"HI",1302,1,406.2439,NA,"AggieReverseGeocoder",NA,4.01,"2958 East Manoa Rd","Urban Honolulu","HI",96822,1804,29021040,"UrbanHNL",683000,"600k+"
"9",516986,"Light","Closed","Two adjacent pole lights out","05/08/2018 08:03:32 PM","05/09/2018 08:01:24 AM","(21.2567191, -157.8030535)",2018-05-08 20:03:32,2018-05-09 08:01:24,"RoadSafety",43072s (~11.96 hours),0.0712169312169312,292,21.2567191,-157.8030535,"HI",292,1,437.5489,NA,"AggieReverseGeocoder",NA,4.01,"3617 Diamond Head Rd","Urban Honolulu","HI",96816,4430,31038033,"UrbanHNL",683000,"600k+"
"10",514633,"Tree","Closed","Tree branch broke off and tree is dangerous","05/03/2018 10:23:43 AM","05/03/2018 10:32:14 AM","(21.305725131, -157.850158473)",2018-05-03 10:23:43,2018-05-03 10:32:14,"Tree",511s (~8.52 minutes),0.000844907407407407,1516,21.305725131,-157.850158473,"HI",1516,1,406.2436,NA,"AggieReverseGeocoder",NA,4.01,"757 Kinalau Pl","Urban Honolulu","HI",96813,2638,21040014,"UrbanHNL",683000,"600k+"
