"NoName","id","latitude","longitude","state","AUTO_UNIQUE_ID_2021-01-30_AdrianaGray_rgsample10","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4","ComputedAPN"
"1","91562","21.335526","-157.859451","HI",1,"1",4718.7682,"","AggieReverseGeocoder","",4.01,"1741 Kealia Dr","Urban Honolulu","HI","96817","2029","16019073"
"2","40888","21.283684","-157.816376","HI",2,"1",906.2472,"","AggieReverseGeocoder","",4.01,"808 Lukepane Ave","Urban Honolulu","HI","96816","1049","27033010"
"3","47008","21.322783","-157.889117","HI",3,"1",171.8447,"","AggieReverseGeocoder","",4.01,"105 Puuhale Rd","Hickam Housing","HI","96819","2253","12007038"
"4","51948","21.283796","-157.829385","HI",4,"1",468.7186,"","AggieReverseGeocoder","",4.01,"435 Kalaimoku St","Urban Honolulu","HI","96815","2257","26017012"
"5","51416","21.298096","-157.831696","HI",5,"1",203.1236,"","AggieReverseGeocoder","",4.01,"1215 Alexander St","Urban Honolulu","HI","96826","1237","28010024"
"6","337094","21.304962","-157.84082","HI",6,"1",750.0222,"","AggieReverseGeocoder","",4.01,"1452 Liholiho St","Urban Honolulu","HI","96822","4181","24020046"
"7","48513","21.332748","-157.882462","HI",7,"1",171.8965,"","AggieReverseGeocoder","",4.01,"2142 Bannister Pl","Hickam Housing","HI","96819","2319","12014085"
"8","81039","21.30895","-157.826187","HI",8,"1",203.2334,"","AggieReverseGeocoder","",4.01,"2325 Mamane Pl","Urban Honolulu","HI","96822","2041","25005044"
"9","260155","21.336191","-158.030487","HI",9,"1",7901.421,"","AggieReverseGeocoder","",4.01,"91-1080 KAPAAHULANI ST","Ewa Beach","HI","96706","","50069"
"10","113188","21.304634","-157.84166","HI",10,"1",343.7852,"","AggieReverseGeocoder","",4.01,"1148 Hassinger St","Urban Honolulu","HI","96822","3965","24019020"
"11","121871","21.353392","-157.923196","HI",11,"1",1078.1345,"","AggieReverseGeocoder","",4.01,"1069 Puolo Dr","Aiea","HI","96818","1124","11025008"
"12","204973","21.33741","-158.032211","HI",12,"1",1625.0203,"","AggieReverseGeocoder","",4.01,"91-1018 MIKOHU ST","Ewa Beach","HI","96706","","365000"
"13","69981","21.385902","-157.91925","HI",13,"1",4406.2573,"","AggieReverseGeocoder","",4.01,"99-739 AIEA HTS DR","Aiea","HI","96701","","632025"
"14","38354","21.273943","-157.816696","HI",14,"1",374.9885,"","AggieReverseGeocoder","",4.01,"400 Kapahulu Ave","Urban Honolulu","HI","96815","3848","27036006"
"15","106665","21.280945","-157.816132","HI",15,"1",937.5807,"","AggieReverseGeocoder","",4.01,"2725 Date St","Urban Honolulu","HI","96815","1087","27036002"
"16","208291","21.2988288","-157.85914095","HI",16,"1",343.7661,"","AggieReverseGeocoder","",4.01,"465 Coral St","Urban Honolulu","HI","96813","5142","21054001"
"17","118279","21.267536","-157.782639","HI",17,"1",875.0344,"","AggieReverseGeocoder","",4.01,"4719 Kolohala St","Urban Honolulu","HI","96816","5225","35034030"
"18","295294","21.571209","-158.112152","HI",18,"1",968.6655,"","AggieReverseGeocoder","",4.01,"66-340 KAAMOOLOA RD","Waialua","HI","96791","","540715"
"19","334060","21.277481","-157.810257","HI",19,"1",343.7943,"","AggieReverseGeocoder","",4.01,"3334 Castle St","Urban Honolulu","HI","96815","3831","31006080"
"20","67969","21.297530407","-157.774816169","HI",20,"1",468.8312,"","AggieReverseGeocoder","",4.01,"2297 Halehaka St","Urban Honolulu","HI","96821","1049","35063050"
"21","298174","21.385574","-158.017273","HI",21,"1",124.9896,"","AggieReverseGeocoder","",4.01,"420 Farrington Hwy","Waipahu","HI","96797","2020","94027127"
"22","173829","21.339912","-158.108734","HI",22,"1",2234.3526,"","AggieReverseGeocoder","",4.01,"92-790 PAALA LP","Kapolei","HI","96707","","164043"
"23","35174","21.287815","-157.837875","HI",23,"1",937.4897,"","AggieReverseGeocoder","",4.01,"1615 Ala Wai Blvd","Urban Honolulu","HI","96815","1019","26011033"
"24","60265","21.308113","-157.863129","HI",24,"1",62.6751,"","AggieReverseGeocoder","",4.01,"827 Fort Street Mall","Urban Honolulu","HI","96813","4317","21013003"
"25","249289","21.38636","-157.942001","HI",25,"1",1609.1733,"","AggieReverseGeocoder","",4.01,"98-263 KAONOHI ST","Aiea","HI","96701","","192654"
"26","185237","21.410763","-157.770599","HI",26,"1",2141.9381,"","AggieReverseGeocoder","",4.01,"100 Puwa Pl","Waimanalo","HI","96734","1743","44011003"
